feature,importance
lag_1,121
lag_24,76
direct_radiation,74
lag_72,65
lag_168,47
lag_96,45
lag_13,38
diffuse_radiation,37
lag_167,33
lag_23,26
dow_sin,24
lag_144,24
lag_47,22
lag_120,20
lag_145,18
lag_2,17
lag_71,17
lag_134,14
lag_15,12
lag_12,12
lag_119,11
dow_cos,10
lag_105,10
lag_79,10
cloud_cover,10
lag_14,9
lag_22,9
lag_143,9
lag_74,9
lag_85,9
lag_50,8
lag_46,7
lag_57,7
lag_109,7
lag_97,7
lag_152,6
lag_41,6
lag_33,6
lag_16,6
lag_121,6
lag_98,6
wind_speed_100m,6
lag_95,5
lag_36,5
lag_49,5
lag_73,5
lag_91,5
lag_11,5
lag_7,5
lag_26,5
lag_34,5
lag_70,5
lag_104,5
lag_68,4
lag_88,4
lag_84,4
lag_153,4
lag_94,4
lag_56,4
lag_118,4
lag_9,4
lag_48,4
lag_32,4
lag_10,4
lag_126,4
lag_146,4
lag_58,3
lag_52,3
lag_30,3
lag_166,3
lag_123,3
lag_21,3
lag_40,3
lag_51,3
lag_37,3
lag_6,3
lag_83,3
lag_92,3
lag_108,3
lag_61,3
lag_102,2
lag_39,2
lag_25,2
wind_direction_10m,2
wind_speed_10m,2
lag_128,2
lag_129,2
lag_133,2
lag_159,2
lag_157,2
lag_156,2
lag_163,2
lag_149,2
lag_135,2
lag_99,2
lag_90,2
lag_62,2
lag_103,2
lag_107,2
lag_101,2
lag_136,2
lag_5,1
lag_3,1
lag_155,1
lag_161,1
lag_42,1
lag_35,1
lag_31,1
lag_20,1
lag_27,1
lag_4,1
lag_19,1
lag_17,1
lag_43,1
lag_45,1
lag_86,1
lag_82,1
lag_78,1
lag_65,1
lag_63,1
lag_76,1
lag_148,1
temperature_2m,1
lag_131,1
lag_127,1
lag_122,1
lag_124,1
lag_132,1
lag_60,1
lag_147,1
lag_142,1
lag_59,1
lag_110,1
lag_100,1
lag_106,1
lag_113,1
lag_114,1
lag_8,0
lag_18,0
lag_44,0
lag_38,0
lag_28,0
lag_29,0
lag_55,0
lag_77,0
lag_81,0
lag_80,0
lag_115,0
lag_112,0
lag_111,0
lag_93,0
lag_89,0
lag_87,0
lag_53,0
lag_54,0
lag_67,0
lag_66,0
lag_64,0
lag_69,0
lag_75,0
lag_117,0
lag_125,0
lag_130,0
lag_141,0
lag_140,0
lag_138,0
lag_139,0
lag_137,0
lag_116,0
lag_151,0
lag_150,0
lag_162,0
lag_160,0
lag_158,0
lag_154,0
hour_cos,0
hour_sin,0
lag_165,0
lag_164,0
