feature,importance
lag_1,206
lag_5,36
lag_3,32
lag_7,29
lag_2,22
wind_speed_10m,21
lag_4,16
wind_speed_100m,14
lag_11,13
lag_35,13
wind_direction_10m,13
lag_27,12
lag_12,12
lag_83,12
lag_26,12
lag_114,12
lag_119,11
lag_65,11
lag_107,11
temperature_2m,11
roll_mean_168,11
lag_153,11
lag_161,10
lag_108,10
lag_85,10
lag_166,10
lag_62,10
lag_16,10
lag_10,10
lag_167,10
lag_24,9
lag_156,9
lag_96,9
lag_72,9
lag_92,9
lag_115,9
lag_150,9
lag_13,9
lag_6,9
lag_9,9
roll_mean_24,8
lag_60,8
lag_165,8
lag_152,8
lag_59,8
lag_36,8
lag_34,8
lag_39,7
lag_38,7
lag_42,7
lag_44,7
lag_22,7
lag_37,7
lag_147,7
lag_71,7
lag_70,7
lag_64,7
lag_109,7
lag_94,6
lag_81,6
lag_110,6
lag_123,6
lag_128,6
lag_131,6
lag_143,6
lag_103,6
lag_91,6
lag_154,6
lag_130,6
lag_17,6
lag_15,6
lag_47,6
lag_25,6
lag_132,6
lag_49,5
lag_41,5
lag_53,5
lag_74,5
lag_32,5
lag_18,5
lag_29,5
lag_40,5
lag_162,5
lag_160,5
lag_145,5
hour_cos,5
lag_63,5
lag_90,5
lag_80,5
lag_105,5
lag_164,5
lag_88,5
lag_120,4
lag_112,4
lag_67,4
lag_99,4
lag_95,4
lag_84,4
lag_52,4
lag_43,4
lag_30,4
lag_8,4
lag_121,4
direct_radiation,4
lag_148,4
lag_135,4
lag_127,4
lag_139,4
lag_66,4
lag_56,4
lag_78,4
lag_33,3
lag_50,3
lag_20,3
lag_19,3
lag_21,3
lag_51,3
lag_77,3
lag_98,3
lag_101,3
lag_75,3
lag_82,3
lag_97,3
lag_46,3
lag_141,3
lag_106,3
lag_104,3
lag_116,3
lag_89,3
diffuse_radiation,3
lag_61,3
lag_54,3
lag_73,3
hour_sin,2
lag_168,2
lag_122,2
lag_144,2
lag_137,2
lag_45,2
lag_157,2
lag_151,2
lag_86,2
lag_58,2
lag_76,2
lag_111,2
lag_100,2
lag_93,2
lag_117,2
lag_163,2
lag_134,2
lag_126,2
lag_140,2
lag_146,2
lag_136,2
lag_14,1
lag_31,1
lag_28,1
cloud_cover,1
lag_48,1
lag_87,1
lag_102,1
lag_57,1
lag_68,1
lag_79,1
lag_55,1
lag_158,1
lag_113,1
lag_155,1
lag_149,1
lag_133,1
lag_142,1
lag_138,1
lag_125,1
lag_23,0
lag_69,0
lag_129,0
lag_118,0
lag_124,0
lag_159,0
dow_sin,0
dow_cos,0
