feature,importance
lag_1,230
direct_radiation,68
diffuse_radiation,51
lag_24,47
lag_23,43
wind_speed_10m,29
lag_47,23
lag_120,18
lag_168,18
lag_144,17
lag_145,17
lag_122,15
lag_2,14
lag_92,14
lag_73,14
lag_143,13
lag_95,13
lag_142,13
lag_22,12
lag_48,12
lag_40,12
lag_167,12
temperature_2m,11
lag_119,11
lag_16,11
wind_direction_10m,11
lag_124,10
wind_speed_100m,10
lag_116,10
lag_141,10
lag_97,9
lag_60,9
lag_93,9
lag_132,9
lag_121,9
lag_130,9
lag_70,9
lag_49,9
lag_96,8
lag_58,8
lag_139,8
hour_sin,8
lag_12,8
lag_21,8
lag_50,8
lag_129,8
lag_149,8
lag_26,7
dow_sin,7
lag_17,7
lag_3,7
lag_57,7
lag_56,6
lag_94,6
lag_148,6
lag_147,6
lag_71,6
lag_11,5
lag_19,5
lag_151,5
lag_72,5
lag_128,5
lag_35,4
lag_125,4
lag_118,4
lag_85,4
lag_84,4
lag_105,4
lag_99,4
lag_91,4
lag_108,4
lag_98,4
lag_157,4
lag_165,4
lag_164,4
lag_28,4
lag_25,3
lag_41,3
lag_36,3
lag_18,3
lag_13,3
lag_46,3
lag_43,3
lag_155,3
lag_133,3
lag_123,3
lag_140,3
lag_104,3
lag_61,3
lag_59,3
lag_156,2
lag_109,2
lag_113,2
lag_80,2
lag_53,2
lag_75,2
lag_68,2
lag_103,2
lag_90,2
lag_163,2
lag_117,2
lag_15,2
lag_4,1
lag_14,1
lag_42,1
lag_44,1
lag_10,1
lag_5,1
lag_6,1
lag_127,1
lag_154,1
hour_cos,1
lag_32,1
lag_30,1
lag_29,1
dow_cos,1
lag_166,1
lag_159,1
lag_161,1
lag_152,1
lag_111,1
lag_74,1
lag_65,1
lag_87,1
lag_81,1
lag_83,1
lag_101,1
lag_137,1
lag_136,1
lag_146,1
lag_8,0
lag_51,0
lag_45,0
lag_37,0
lag_38,0
lag_39,0
lag_31,0
lag_33,0
lag_34,0
lag_27,0
lag_20,0
lag_7,0
lag_9,0
lag_69,0
lag_55,0
lag_52,0
lag_54,0
lag_115,0
lag_114,0
lag_112,0
lag_110,0
lag_102,0
lag_100,0
lag_106,0
lag_107,0
lag_86,0
lag_88,0
lag_89,0
lag_76,0
lag_79,0
lag_78,0
lag_77,0
lag_82,0
lag_67,0
lag_66,0
lag_64,0
lag_63,0
lag_62,0
lag_126,0
lag_138,0
lag_131,0
lag_135,0
lag_134,0
lag_162,0
lag_153,0
lag_150,0
lag_160,0
lag_158,0
cloud_cover,0
