feature,importance
lag_1,424
direct_radiation,59
wind_speed_100m,54
lag_3,53
lag_2,51
lag_7,37
temperature_2m,34
lag_4,33
lag_5,29
lag_21,27
lag_8,21
lag_34,20
lag_146,19
lag_28,19
wind_direction_10m,19
hour_sin,18
lag_74,16
lag_35,16
lag_60,15
lag_19,14
lag_24,14
lag_40,14
wind_speed_10m,14
lag_95,14
lag_80,14
lag_152,14
lag_107,13
lag_130,13
lag_50,13
lag_98,12
lag_133,12
lag_27,12
lag_20,12
lag_42,12
lag_36,12
lag_22,11
lag_94,11
lag_117,11
lag_116,11
lag_110,11
lag_25,10
hour_cos,10
lag_161,10
lag_158,10
lag_125,10
lag_92,10
lag_62,10
lag_59,10
lag_111,10
diffuse_radiation,9
lag_87,9
lag_148,8
lag_145,8
lag_108,8
lag_41,8
lag_26,8
lag_9,8
lag_96,8
lag_58,8
lag_48,8
lag_162,7
lag_124,7
lag_68,7
lag_115,7
lag_103,7
lag_64,7
lag_69,7
lag_163,7
lag_49,7
cloud_cover,7
lag_131,7
lag_81,6
lag_43,6
lag_10,6
lag_6,6
lag_44,6
lag_56,6
lag_14,6
lag_30,6
lag_38,6
lag_127,6
lag_137,6
lag_164,6
lag_129,6
lag_85,6
lag_165,6
lag_168,6
lag_106,6
lag_93,6
lag_150,5
lag_153,5
lag_83,5
lag_102,5
lag_82,5
lag_65,5
lag_55,5
lag_57,5
lag_54,5
lag_37,5
lag_33,5
lag_16,5
lag_75,5
lag_70,5
lag_97,5
lag_88,5
lag_121,5
lag_134,5
lag_104,5
lag_52,5
lag_120,4
lag_109,4
lag_29,4
lag_13,4
lag_18,4
lag_136,4
lag_53,4
lag_114,4
lag_84,4
lag_90,4
lag_73,4
lag_167,4
lag_72,4
lag_63,4
lag_166,4
lag_135,3
lag_17,3
lag_32,3
lag_132,3
lag_144,3
lag_143,3
lag_157,3
dow_cos,3
lag_140,3
lag_126,3
lag_118,3
lag_142,3
lag_61,3
lag_149,3
lag_113,3
lag_101,3
lag_112,3
lag_91,3
lag_78,3
lag_100,3
lag_11,2
lag_15,2
lag_46,2
lag_71,2
lag_105,2
lag_156,2
lag_141,2
lag_147,2
lag_122,2
lag_39,2
lag_154,2
lag_155,1
lag_51,1
lag_45,1
lag_47,1
lag_23,1
lag_31,1
lag_86,1
lag_66,1
dow_sin,1
lag_160,1
lag_138,1
lag_89,1
lag_77,1
lag_76,1
lag_128,1
lag_139,1
lag_159,1
lag_12,0
lag_67,0
lag_79,0
lag_99,0
lag_119,0
lag_123,0
lag_151,0
