feature,importance
lag_1,112
diffuse_radiation,30
lag_95,24
lag_73,24
lag_167,24
direct_radiation,24
lag_120,23
lag_72,22
lag_71,20
lag_24,19
lag_96,19
lag_68,17
lag_70,17
roll_mean_168,15
lag_69,15
lag_142,15
lag_144,15
lag_92,14
lag_168,14
hour_sin,13
lag_23,13
lag_74,12
lag_165,12
lag_119,12
lag_94,11
lag_48,10
lag_67,10
lag_123,9
lag_117,9
lag_47,9
lag_25,8
wind_direction_10m,8
lag_118,8
lag_121,7
lag_91,7
lag_76,7
lag_139,7
lag_115,7
lag_4,7
lag_19,7
lag_166,7
lag_143,7
temperature_2m,7
lag_164,7
lag_22,6
lag_2,6
lag_146,6
lag_159,6
lag_98,6
lag_50,5
lag_46,5
lag_21,5
lag_51,5
lag_160,5
roll_mean_24,5
lag_97,5
lag_158,5
wind_speed_100m,5
lag_56,5
lag_15,5
lag_18,4
lag_8,4
lag_26,4
lag_45,4
lag_49,4
lag_20,4
lag_140,4
lag_141,4
lag_145,4
lag_104,4
lag_136,3
lag_149,3
lag_147,3
lag_93,3
lag_99,3
lag_60,3
lag_107,3
lag_55,3
lag_138,3
lag_27,3
lag_53,3
lag_11,3
lag_10,3
lag_44,3
lag_12,2
lag_114,2
lag_154,2
lag_156,2
lag_161,2
lag_127,2
dow_sin,2
lag_112,2
lag_116,2
lag_101,2
lag_103,2
lag_87,2
lag_90,2
lag_65,2
lag_54,2
lag_63,2
lag_100,2
lag_36,2
lag_3,2
lag_6,1
lag_52,1
lag_43,1
lag_40,1
lag_38,1
lag_28,1
lag_5,1
lag_14,1
lag_133,1
lag_148,1
wind_speed_10m,1
lag_29,1
lag_34,1
lag_33,1
lag_152,1
lag_157,1
lag_83,1
lag_77,1
lag_75,1
lag_59,1
lag_113,1
lag_102,1
lag_89,1
lag_88,1
lag_86,1
lag_66,1
lag_128,1
lag_130,1
cloud_cover,1
lag_163,1
lag_78,1
lag_81,1
lag_109,1
lag_106,1
lag_129,1
lag_32,0
lag_42,0
lag_30,0
lag_13,0
lag_9,0
lag_17,0
lag_7,0
lag_16,0
lag_31,0
lag_35,0
lag_37,0
lag_41,0
lag_39,0
lag_111,0
lag_110,0
lag_80,0
lag_82,0
lag_105,0
lag_108,0
lag_62,0
lag_64,0
lag_58,0
lag_79,0
lag_84,0
lag_85,0
lag_57,0
lag_61,0
lag_134,0
lag_137,0
lag_135,0
lag_124,0
lag_125,0
lag_126,0
lag_131,0
lag_132,0
lag_122,0
lag_162,0
lag_150,0
lag_155,0
lag_153,0
lag_151,0
hour_cos,0
dow_cos,0
