feature,importance
lag_1,441
wind_speed_100m,56
wind_speed_10m,37
lag_4,33
lag_6,32
temperature_2m,31
lag_160,30
lag_3,29
lag_63,27
lag_56,22
lag_10,22
lag_8,21
lag_5,21
lag_82,19
lag_157,18
lag_162,18
lag_7,17
lag_122,17
lag_134,17
lag_124,16
lag_159,15
lag_158,14
lag_62,14
lag_58,13
lag_29,13
cloud_cover,13
hour_cos,13
lag_60,12
lag_167,12
lag_85,12
lag_75,12
lag_2,12
lag_110,11
lag_135,11
lag_78,11
lag_109,11
lag_9,11
lag_43,10
lag_12,10
lag_67,10
lag_130,10
lag_76,9
lag_86,9
wind_direction_10m,9
lag_115,9
lag_13,9
lag_45,9
lag_132,9
lag_14,8
lag_18,8
lag_11,8
lag_77,8
lag_125,8
lag_17,7
lag_52,7
lag_166,7
lag_57,7
lag_84,7
lag_83,7
lag_161,7
lag_51,7
lag_154,6
lag_117,6
hour_sin,6
lag_136,6
lag_116,6
lag_168,6
lag_92,6
lag_93,6
lag_34,6
lag_133,6
lag_28,6
lag_19,6
lag_121,5
lag_131,5
lag_33,5
lag_37,5
lag_42,5
lag_48,5
lag_144,5
lag_127,5
lag_94,5
lag_47,5
lag_163,5
lag_150,5
lag_91,5
lag_95,5
lag_106,5
lag_81,5
lag_64,5
lag_100,5
lag_70,5
lag_104,5
dow_sin,5
lag_80,4
direct_radiation,4
lag_155,4
lag_153,4
lag_128,4
lag_123,4
lag_145,4
lag_89,4
lag_53,4
lag_20,4
lag_16,4
lag_15,4
lag_164,4
lag_99,4
lag_96,4
lag_113,4
lag_36,3
lag_49,3
lag_39,3
lag_22,3
lag_120,3
lag_101,3
lag_112,3
lag_69,3
lag_73,3
lag_59,3
lag_55,3
lag_61,3
lag_65,3
lag_141,3
lag_118,3
lag_71,3
lag_143,3
lag_44,2
lag_40,2
lag_23,2
lag_46,2
lag_149,2
lag_165,2
lag_156,2
lag_151,2
lag_103,2
lag_102,2
lag_146,2
lag_126,2
lag_97,2
lag_98,2
lag_108,2
lag_88,2
lag_74,2
lag_79,2
lag_114,2
lag_111,2
diffuse_radiation,1
lag_139,1
lag_50,1
lag_41,1
lag_32,1
lag_35,1
lag_38,1
lag_27,1
lag_31,1
lag_30,1
lag_26,1
lag_21,1
lag_72,1
lag_54,1
lag_68,1
lag_107,1
lag_129,1
lag_105,1
lag_24,0
lag_25,0
lag_90,0
lag_87,0
lag_66,0
lag_119,0
lag_147,0
lag_142,0
lag_140,0
lag_138,0
lag_137,0
lag_152,0
lag_148,0
dow_cos,0
